MaxErr,SKO,Span,s22,c22,s31,c31
0.570488,0.6889,4.29648,-0.7,-1,1,-0.9
0.544878,0.654153,4.12908,-0.9,-0.8,0.7,-1
4.12E-01,0.538129,3.30147,-0.8,-0.5,-0.8,-0.7
4.12E-01,0.538129,3.30147,0.8,-0.5,-0.8,0.7
3.81E-01,0.742743,4.62505,-0.9,-1,-1,1
3.62E-01,0.657013,4.06126,-1,0.6,-0.8,-1
4.21E-01,0.621825,3.76537,-1,-0.6,-0.8,0.8
3.94E-01,0.653197,3.94959,-0.9,-1,-0.6,-0.8
4.22E-01,0.675154,4.10561,-1,-1,-0.7,-0.7
5.90E-01,0.626498,3.83921,-0.9,-0.9,0.7,0.7
4.15E-01,0.717345,4.44583,-1,-1,-0.9,-0.8
3.79E-01,0.663011,3.97543,-1,-1,-0.6,-0.7
0.467662,0.553775,3.48919,-0.3,-1,0.8,0.6
4.32E-01,0.621825,3.76537,-1,0.6,0.8,-0.8
5.77E-01,0.643881,3.96808,-1,-0.8,0.8,0.7
6.08E-01,0.643881,3.98298,-0.8,-1,0.7,0.8
0.449263,0.549242,3.50325,-0.5,-0.9,0.8,0.6
0.449263,0.549242,3.50325,-0.5,-0.9,0.8,0.6
0.450404,0.535413,3.40485,-0.4,-0.9,0.8,0.6
0.457836,0.628159,3.99983,-0.7,-1,0.9,0.6
5.98E-01,0.640963,3.95875,-0.7,-1,0.7,0.9
0.476944,0.630806,4.00352,-0.9,-0.8,1,0.5
0.49698,0.621825,3.94828,-0.9,-0.8,1,0.4
5.95E-01,0.694922,4.225,-1,-0.9,0.8,0.9
0.48634,0.627163,3.97694,-1,-0.7,1,0.4
5.67E-01,0.711805,4.29188,-1,-0.9,0.8,1
5.61E-01,0.726579,4.438,-1,-0.9,0.9,1
4.07E-01,0.652559,3.84785,-1,-1,0.5,0.7
7.48E-01,0.691616,4.26309,-0.8,-1,-0.8,-1
3.59E-01,0.498331,2.84028,-0.8,-0.5,0.4,0.8
3.43E-01,0.643558,3.69697,-0.9,-1,0.3,0.9
4.44E-01,0.653197,3.88131,-1,-0.9,-0.6,-0.8
3.55E-01,0.667708,3.85114,-1,-1,0.3,0.9
9.77E-01,0.659229,4.03291,-0.7,-1,0.7,1
3.65E-01,0.62283,3.68775,-0.9,-0.8,-0.6,-0.9
0.451257,0.657013,4.09574,-0.9,-1,1,0.2
0.508441,0.530723,3.35226,-0.3,-0.8,0.8,0.8
0.508441,0.530723,3.35226,-0.3,-0.8,0.8,0.8
3.49E-01,0.63901,3.89435,-1,-0.7,-0.8,-0.8
3.76E-01,0.6889,4.23739,-1,-1,0.8,0.7
0.564147,0.56421,3.57317,-0.4,-1,0.8,0.6
3.67E-01,0.635741,3.88914,-0.8,-0.9,-0.7,-0.9
0.422551,0.621825,3.95091,-0.8,-0.9,0.4,-1
3.17E-01,0.621825,3.76537,-1,-0.6,-0.8,-0.8
3.76E-01,0.629815,3.80274,-0.6,-1,-0.6,-1
3.34E-01,0.65032,3.96556,-0.9,-0.8,-0.8,-0.9
3.52E-01,0.711805,4.36149,-0.9,-1,-0.8,-1
2.84E-01,0.657013,4.06126,-1,0.6,-1,0.8
5.30E-01,0.689807,4.32071,-0.8,-1,-0.9,0.9
2.91E-01,0.642586,4.01076,-1,0.6,-1,0.7
0.400255,0.657013,4.10936,-1,-0.9,1,0.2
5.97E-01,0.649359,3.99669,-0.7,-0.9,-1,0.8
6.60E-01,0.630806,3.92253,-0.7,-0.9,-0.8,-0.9
5.29E-01,0.694922,4.30676,-1,-0.9,-0.8,0.9
6.00E-01,0.710047,4.41911,-0.9,-1,-0.9,0.9
5.04E-01,0.726579,4.55089,-0.9,-1,-0.9,1
5.96E-01,0.711805,4.29188,-1,-0.9,1,-0.8
5.30E-01,0.498331,2.84028,-0.8,0.5,-0.8,-0.4
6.44E-01,0.706812,4.38069,-1,-0.8,-0.9,1
4.73E-01,0.706812,4.39487,-0.8,-1,-1,0.9
0.25662,0.518009,3.32228,0.1,-0.8,-0.8,-0.8
0.25662,0.518009,3.32228,0.1,-0.8,-0.8,-0.8
5.97E-01,0.498331,2.84028,0.8,-0.5,0.4,-0.8
3.51E-01,0.701189,4.32594,-0.9,-0.8,-1,1
3.89E-01,0.621825,3.76537,-1,0.6,-0.8,0.8
0.340658,0.657013,4.18154,-0.6,-1,1,0.8
4.08E-01,0.657013,4.06126,-1,-0.6,-1,-0.8
0.377568,0.635085,3.95874,-0.8,-1,1,0.2
3.58E-01,0.64291,3.95045,-1,0.5,-1,0.8
3.58E-01,0.674228,3.85859,-1,-1,-0.4,-0.9
4.73E-01,0.668331,4.09509,-0.8,-0.9,-1,0.8
0.233918,0.493288,3.13387,0.1,-0.7,-0.8,0.8
0.233918,0.493288,3.13387,0.1,-0.7,-0.8,0.8
0.242039,0.518009,3.32228,-0.1,-0.8,-0.8,0.8
0.242039,0.518009,3.32228,-0.1,-0.8,-0.8,0.8
0.251635,0.522813,3.33097,-0.2,-0.8,-0.8,0.8
0.251635,0.522813,3.33097,-0.2,-0.8,-0.8,0.8
0.308609,0.524404,3.31087,-0.3,-0.9,0.8,0.6
0.308609,0.524404,3.31087,-0.3,-0.9,0.8,0.6
4.45E-01,0.711805,4.29188,-1,-0.9,-1,0.8
0.269381,0.632456,3.96676,-0.9,-0.9,-1,-0.2
0.330034,0.629815,4.03321,-0.6,-1,1,0.6
0.331723,0.646787,4.13161,-0.7,-1,1,0.6
0.211625,0.473902,3.02338,-0.1,-0.7,-0.8,-0.7
0.332808,0.665833,4.23,-0.8,-1,1,0.6
2.44E-01,0.496655,3.13912,0.3,-0.8,-0.6,-0.8
0.319406,0.68678,4.34159,-0.9,-1,1,0.6
3.05E-01,0.653197,3.91961,-0.9,-0.5,1,1
0.319127,0.590198,3.71972,-0.7,-1,0.8,0.4
0.319127,0.590198,3.71972,-0.7,-1,0.8,0.4
0.325737,0.642586,4.10738,-0.6,-1,1,0.7
3.12E-01,0.711805,4.29188,-1,-0.9,-0.8,-1
4.92E-01,0.711805,4.36149,-0.9,-1,-1,0.8
0.25696,0.524007,3.31101,0.4,-0.8,0.7,0.8
0.25696,0.524007,3.31101,0.4,-0.8,0.7,0.8
0.321097,0.632456,3.7661,-0.9,-0.9,1,-0.2
3.06E-01,0.726579,4.438,-1,-0.9,-0.9,-1
0.314774,0.668331,4.21339,-0.8,-0.9,1,0.8
0.260163,0.512754,3.2272,0.3,-0.8,0.8,0.7
0.260163,0.512754,3.2272,0.3,-0.8,0.8,0.7
0.225762,0.522813,3.33097,-0.2,-0.8,-0.8,-0.8
0.225762,0.522813,3.33097,-0.2,-0.8,-0.8,-0.8
0.334661,0.661753,3.83749,-0.9,-1,1,-0.3
3.10E-01,0.649038,3.98218,-0.9,0.6,-0.9,-1
0.260387,0.512754,3.2272,-0.3,-0.8,0.8,-0.7
0.260387,0.512754,3.2272,-0.3,-0.8,0.8,-0.7
0.260046,0.554902,3.45018,-0.6,-0.8,0.8,-0.7
0.260046,0.554902,3.45018,-0.6,-0.8,0.8,-0.7
0.308899,0.64291,4.08315,-0.5,-1,1,0.8
0.286396,0.632126,3.94984,-1,-0.8,-1,-0.1
0.30737,0.649359,4.11193,-0.7,-0.9,1,0.8
0.26024,0.538129,3.35179,-0.5,-0.8,0.8,-0.7
0.26024,0.538129,3.35179,-0.5,-0.8,0.8,-0.7
0.308283,0.630806,3.63013,-0.9,-0.8,1,-0.5
0.27154,0.661753,3.88023,-1,-0.9,-1,0.3
0.227634,0.514377,3.24141,-0.5,-0.7,0.7,-0.8
0.227634,0.514377,3.24141,-0.5,-0.7,0.7,-0.8
0.309557,0.624166,3.89374,-0.5,-1,0.9,-0.8
0.248528,0.516398,3.08628,0.7,-0.6,0.8,0.6
0.30755,0.621825,3.73313,-0.7,-0.9,1,-0.6
0.306988,0.621825,3.57571,-0.9,-0.8,1,-0.4
0.305092,0.641613,3.76191,-0.9,-0.8,1,-0.6
0.305058,0.649359,3.99669,-0.7,-0.9,1,-0.8
0.257951,0.581664,3.51519,-0.8,-0.8,0.8,-0.6
0.257951,0.581664,3.51519,-0.8,-0.8,0.8,-0.6
0.2258,0.511126,3.19505,-0.6,-0.6,0.7,-0.8
0.2258,0.511126,3.19505,-0.6,-0.6,0.7,-0.8
0.271139,0.629153,3.96073,-0.4,-1,-0.9,-0.9
0.256894,0.559762,3.4168,-0.7,-0.8,0.8,-0.6
0.270451,0.657013,3.92275,-1,-0.9,-1,0.2
0.223877,0.514377,3.24141,0.5,-0.7,0.7,0.8
0.223877,0.514377,3.24141,0.5,-0.7,0.7,0.8
0.24747,0.557524,3.42749,-0.8,-0.7,0.7,-0.7
0.24747,0.557524,3.42749,-0.8,-0.7,0.7,-0.7
0.31083,0.642586,3.93452,-0.6,-1,1,-0.7
0.223447,0.492866,3.07467,-0.5,-0.6,0.7,-0.8
0.223447,0.492866,3.07467,-0.5,-0.6,0.7,-0.8
0.247844,0.559762,3.34719,0.8,-0.7,0.8,0.6
2.96E-01,0.701189,4.32594,-0.9,-0.8,1,1
0.317783,0.628159,3.82697,-0.7,-1,0.9,-0.6
0.301845,0.634757,3.86491,-0.7,-0.9,1,-0.7
0.253579,0.554902,3.45018,0.6,-0.8,0.8,0.7
0.311258,0.659229,4.03291,-0.7,-1,1,-0.7
0.24518,0.538129,3.21497,0.8,-0.5,0.8,0.7
0.251602,0.595469,3.64697,-0.8,-0.8,0.8,-0.7
0.251602,0.595469,3.64697,-0.8,-0.8,0.8,-0.7
0.252607,0.574093,3.54858,0.7,-0.8,0.8,0.7
0.296445,0.621825,3.76537,-1,-0.6,0.8,-0.8
0.296445,0.621825,3.76537,-1,-0.6,0.8,-0.8
0.242194,0.679461,4.21316,-0.9,-1,-0.8,0.8
0.221392,0.531899,3.3398,0.6,-0.7,0.7,0.8
0.246007,0.574093,3.49311,-0.8,-0.7,0.8,-0.7
0.246007,0.574093,3.49311,-0.8,-0.7,0.8,-0.7
0.294394,0.653197,4.04181,-1,-0.9,0.8,0.6
0.244149,0.540062,3.37405,0.8,-0.6,0.8,-0.6
0.269447,0.66552,4.139,-0.9,-1,0.8,0.7
0.244868,0.574093,3.57487,-0.8,-0.7,0.7,-0.8
0.244868,0.574093,3.57487,-0.8,-0.7,0.7,-0.8
0.244868,0.574093,3.57487,0.8,-0.7,0.7,0.8
0.302311,0.672991,4.19808,-0.6,-1,1,-0.9
0.306382,0.640963,3.95875,-0.7,-1,0.9,-0.7
0.22129,0.551891,3.45449,0.7,-0.7,0.7,0.8
2.92E-01,0.72111,4.465,-0.9,-0.9,1,1
0.241882,0.61101,3.86804,-0.7,-1,0.8,0.6
3.10E-01,0.677003,4.23257,-0.5,-1,1,1
0.272278,0.62283,3.91608,-0.9,-0.8,0.9,0.6
2.99E-01,0.672991,4.2557,-0.6,-1,0.9,-1
0.301178,0.690411,4.32987,-0.6,-1,1,-1
0.271093,0.649038,4.0877,-0.6,-0.9,0.9,-1
0.297809,0.701189,4.35865,-0.8,-0.9,1,-1
0.29842,0.675463,4.0617,-0.9,-0.9,1,-0.7
0.29645,0.628159,3.60371,-1,-0.5,1,-0.7
0.296471,0.684044,4.17855,-0.9,-0.8,1,-0.9
0.30107,0.624166,3.94221,-0.7,-1,0.7,-0.8
0.296146,0.680686,4.20556,-0.8,-0.8,1,-1
0.294464,0.638684,3.82062,-1,-0.6,0.9,-0.8
0.294464,0.638684,3.82062,-1,-0.6,0.9,-0.8
3.02E-01,0.672991,4.19808,-0.6,-1,1,-0.9
0.295816,0.667083,4.16186,-0.6,-0.9,1,-1
0.303901,0.621825,3.91798,-0.6,-1,0.8,-0.8
0.294547,0.643881,3.88014,-1,-0.8,0.8,-0.7
0.247437,0.624166,3.94221,-0.7,-1,0.8,0.7
0.247437,0.624166,3.94221,-0.7,-1,0.8,0.7
0.294777,0.68313,4.18687,-0.9,-0.7,1,-1
0.275378,0.655744,4.04516,-0.9,-0.9,0.8,-0.8
0.295556,0.701189,4.32594,-0.9,-0.8,1,-1
3.35E-01,0.672991,4.2557,-0.6,-1,1,0.9
0.24852,0.643881,4.0406,-0.8,-1,0.8,0.7
0.293313,0.659229,3.8651,-1,-0.7,1,-0.7
0.294647,0.68313,4.26026,-0.7,-0.9,1,-1
0.297493,0.689807,4.32071,-0.8,-1,0.9,-0.9
0.291052,0.655426,3.94959,-1,-0.7,0.9,-0.8
2.69E-01,0.666458,4.15271,-0.8,-0.9,0.9,-0.9
0.305596,0.660177,4.05715,-0.8,-1,0.9,-0.7
0.296611,0.674228,4.24655,-0.8,-1,0.8,-0.9
0.293072,0.6733,4.01248,-1,-0.7,1,-0.8
0.291377,0.66552,4.12848,-0.7,-0.9,1,-0.9
2.98E-01,0.659229,4.15731,-0.5,-1,0.9,-1
0.292988,0.655108,3.96379,-1,-0.6,0.9,-0.9
0.292988,0.655108,3.96379,-1,-0.6,0.9,-0.9
0.270261,0.663011,4.13994,-0.8,-0.8,0.9,-1
0.24177,0.494975,3.12943,0.6,-0.6,0.8,-0.6
3.00E-01,0.655108,4.12392,-0.6,-1,0.9,-0.9
2.70E-01,0.66552,4.18609,-0.7,-0.9,0.9,-1
0.269857,0.684044,4.28449,-0.8,-0.9,0.9,-1
0.292908,0.627163,3.98328,-0.7,-1,-0.4,1
2.97E-01,0.671441,4.22232,-0.7,-1,0.9,-0.9
0.266159,0.630806,3.90825,-0.9,-0.7,0.8,-0.9
0.268813,0.66552,4.12125,-0.9,-0.7,0.9,-1
0.266724,0.628159,3.66324,-1,-0.7,-0.9,0.6
2.97E-01,0.6889,4.3541,-0.7,-1,0.9,-1
0.273634,0.654153,4.14777,-0.8,-0.9,0.7,-1
0.297316,0.710047,4.41911,-0.9,-1,0.9,-0.9
0.297316,0.710047,4.41911,-0.9,-1,0.9,-0.9
3.03E-01,0.723418,4.52666,-0.8,-1,1,1
0.295465,0.706812,4.45249,-0.8,-1,0.9,-1
0.293876,0.628159,3.90354,-1,-0.5,0.7,-1
0.224839,0.632456,4.01354,-0.6,-0.9,-1,-0.8
0.286681,0.663011,4.05887,-0.8,-0.8,1,-0.9
0.294767,0.694922,4.34494,-0.9,-1,0.8,-0.9
3.02E-01,0.705927,4.42826,-0.7,-1,1,1
0.241528,0.559762,3.50925,-0.8,-0.7,0.6,-0.8
0.241528,0.559762,3.50925,-0.8,-0.7,0.6,-0.8
0.241528,0.559762,3.50925,0.8,-0.7,0.6,0.8
0.238583,0.498331,3.16724,0.5,-0.7,0.8,-0.6
0.24124,0.630806,3.69974,-0.8,-0.9,-1,0.5
0.253971,0.647431,4.05431,-0.7,-0.9,0.9,0.9
0.273761,0.627163,3.63672,-1,-0.7,-1,0.4
0.289543,0.706812,4.29893,-1,-0.8,1,-0.9
0.268132,0.643881,4.00087,-0.8,-0.7,0.9,-1
0.291762,0.629153,3.73926,-1,-0.4,0.9,-0.9
0.26981,0.689202,4.33376,-0.9,-0.9,0.8,-1
0.296231,0.723418,4.52666,-0.8,-1,1,-1
0.290848,0.659229,4.20577,-0.7,-1,0.7,-1
0.234364,0.522813,3.33525,0.5,-0.8,0.8,-0.6
0.262755,0.711805,4.29188,-1,-0.9,-1,0.8
0.287018,0.6889,4.15986,-1,-0.7,1,-0.9
0.253525,0.63901,4.01637,-0.7,-1,0.8,0.8
0.253525,0.63901,4.01637,-0.7,-1,0.8,0.8
0.271739,0.675463,4.26815,-0.9,-0.9,0.7,-1
0.289298,0.63901,3.89435,-1,-0.7,0.8,-0.8
2.88E-01,0.72111,4.465,-0.9,-0.9,1,-1
0.293222,0.6889,4.24162,-1,-0.7,0.9,-1
2.88E-01,0.667083,4.16186,-0.6,-0.9,1,-1
0.276068,0.65032,4.04732,-0.9,-0.8,0.9,0.8
0.272439,0.655744,4.04516,-0.9,-0.9,0.8,0.8
3.84E-01,0.649038,3.98218,-0.9,-0.6,-1,-0.9
0.253932,0.621825,3.91798,-0.6,-1,0.8,0.8
0.253932,0.621825,3.91798,-0.6,-1,0.8,0.8
0.295677,0.631137,3.84558,-1,-0.4,1,0.8
0.26362,0.65032,4.04732,-0.9,-0.8,0.8,-0.9
2.64E-01,0.668331,4.1947,-0.9,-0.8,0.8,-1
0.29159,0.640963,3.98228,-1,-0.7,0.7,-0.9
0.281783,0.560877,3.58568,0.2,-1,-0.8,0.7
0.293795,0.733712,4.59321,-1,-1,0.8,-1
0.254911,0.606905,3.81958,-0.5,-1,0.8,0.8
0.257356,0.657013,4.10936,-1,-0.9,-1,-0.2
2.95E-01,0.666458,4.11294,-0.9,-0.8,0.9,-0.9
0.235775,0.492866,3.07467,0.5,-0.6,0.8,-0.7
0.235775,0.492866,3.07467,0.5,-0.6,0.8,-0.7
0.290639,0.659229,4.00095,-1,-0.5,0.9,-1
2.95E-01,0.706812,4.45249,-0.8,-1,0.9,-1
0.244186,0.63705,3.79358,-0.8,-1,-0.9,0.5
0.260931,0.644851,3.99256,-0.8,-0.8,0.9,-0.9
0.297328,0.623832,3.67744,-1,-0.6,0.7,0.9
0.297328,0.623832,3.67744,-1,-0.6,0.7,0.9
0.269793,0.632456,3.91876,-0.9,-0.6,0.8,-1
0.269793,0.632456,3.91876,-0.9,-0.6,0.8,-1
0.19738,0.531899,3.3398,-0.6,-0.7,-0.7,0.8
0.19738,0.531899,3.3398,-0.6,-0.7,-0.7,0.8
0.29085,0.657013,4.06126,-1,-0.6,0.8,-1
0.29085,0.657013,4.06126,-1,-0.6,0.8,-1
0.270654,0.641613,4.08215,-0.8,-0.9,0.6,-1
0.197993,0.551891,3.45449,-0.7,-0.7,-0.7,0.8
0.197993,0.551891,3.45449,-0.7,-0.7,-0.7,0.8
2.87E-01,0.691616,4.31507,-1,-0.8,0.8,-1
2.88E-01,0.628159,3.90354,-1,-0.5,0.7,-1
0.205618,0.492443,3.04767,-0.6,-0.6,0.7,0.7
0.205618,0.492443,3.04767,-0.6,-0.6,0.7,0.7
0.294302,0.640963,3.84945,-1,-0.5,0.9,0.9
0.232855,0.551891,3.45449,0.7,-0.7,0.8,-0.7
0.200242,0.549242,3.41396,-0.6,-0.7,-0.8,0.8
0.200242,0.549242,3.41396,-0.6,-0.7,-0.8,0.8
0.200242,0.549242,3.41396,-0.6,-0.7,-0.8,0.8
0.200599,0.538129,3.40941,-0.5,-0.8,-0.7,0.8
0.200599,0.538129,3.40941,-0.5,-0.8,-0.7,0.8
0.290982,0.628159,3.92703,-1,-0.7,0.6,-0.9
0.217868,0.647431,4.05431,-0.7,-0.9,-0.9,0.9
0.23299,0.499583,3.14301,0.4,-0.7,0.8,-0.7
0.19875,0.532291,3.31557,-0.5,-0.7,-0.8,0.8
0.19875,0.532291,3.31557,-0.5,-0.7,-0.8,0.8
2.64E-01,0.689202,4.33376,-0.9,-0.9,0.8,-1
0.286226,0.6889,4.23739,-1,-1,0.7,-0.8
0.288532,0.681298,4.27078,-0.9,-1,0.7,-0.9
0.240737,0.655426,4.09053,-0.7,-1,-0.9,0.8
0.232337,0.568624,3.52011,0.7,-0.7,0.8,-0.8
0.232337,0.568624,3.52011,-0.7,-0.7,0.8,0.8
0.232337,0.568624,3.52011,-0.7,-0.7,0.8,0.8
